iter	Passed	Remaining
416	2597	3631
417	2603	3624
418	2609	3618
419	2614	3610
420	2620	3603
421	2625	3596
422	2631	3588
423	2636	3581
424	2641	3574
425	2646	3566
426	2652	3559
427	2658	3552
428	2663	3545
429	2669	3538
430	2674	3531
431	2680	3524
432	2686	3518
433	2692	3511
434	2698	3505
435	2704	3498
436	2710	3492
437	2716	3485
438	2722	3479
439	2728	3472
440	2734	3465
441	2740	3459
442	2746	3453
443	2753	3447
444	2758	3440
445	2765	3434
446	2770	3427
447	2776	3421
448	2782	3414
449	2788	3407
450	2794	3401
451	2800	3395
452	2806	3388
453	2811	3381
454	2817	3375
455	2823	3368
456	2830	3362
457	2835	3355
458	2841	3349
459	2847	3342
460	2853	3336
461	2859	3329
462	2864	3322
463	2871	3316
464	2876	3310
465	2882	3303
466	2888	3296
467	2894	3290
468	2899	3283
469	2905	3276
470	2911	3269
471	2916	3262
472	2922	3256
473	2927	3248
474	2933	3242
475	2939	3235
476	2945	3229
477	2950	3222
478	2956	3215
479	2962	3209
480	2968	3202
481	2973	3195
482	2979	3189
483	2985	3182
484	2991	3176
485	2997	3169
486	3003	3163
487	3009	3157
488	3014	3150
489	3020	3143
490	3026	3137
491	3032	3131
492	3038	3124
493	3044	3118
494	3049	3111
495	3056	3105
496	3062	3099
497	3068	3092
498	3074	3086
499	3079	3079
500	3085	3073
501	3091	3067
502	3098	3061
503	3103	3054
504	3109	3048
505	3115	3041
506	3121	3035
507	3127	3028
508	3133	3022
509	3138	3015
510	3144	3009
511	3150	3002
512	3155	2995
513	3161	2989
514	3167	2982
515	3172	2976
516	3178	2969
517	3184	2963
518	3189	2956
519	3195	2949
520	3201	2943
521	3206	2936
522	3213	2930
523	3218	2923
524	3224	2917
525	3230	2910
526	3235	2903
527	3241	2897
528	3246	2890
529	3252	2884
530	3258	2877
531	3264	2871
532	3270	2865
533	3276	2859
534	3283	2853
535	3289	2847
536	3295	2841
537	3302	2835
538	3308	2829
539	3314	2823
540	3320	2817
541	3326	2811
542	3332	2804
543	3338	2798
544	3345	2793
545	3351	2786
546	3356	2780
547	3362	2773
548	3368	2766
549	3373	2760
550	3379	2753
551	3385	2747
552	3390	2740
553	3396	2734
554	3402	2727
555	3408	2721
556	3413	2715
557	3418	2708
558	3424	2701
559	3429	2694
560	3435	2688
561	3440	2681
562	3447	2675
563	3452	2668
564	3458	2662
565	3463	2655
566	3469	2649
567	3474	2642
568	3480	2636
569	3485	2629
570	3491	2623
571	3496	2616
572	3502	2610
573	3508	2603
574	3514	2597
575	3520	2591
576	3525	2584
577	3531	2578
578	3537	2572
579	3543	2566
580	3549	2559
581	3555	2553
582	3561	2547
583	3567	2541
584	3572	2534
585	3578	2528
586	3583	2521
587	3589	2515
588	3595	2508
589	3601	2502
590	3606	2495
591	3613	2490
592	3618	2483
593	3624	2477
594	3630	2471
595	3635	2464
596	3641	2458
597	3646	2451
598	3652	2444
599	3657	2438
600	3663	2432
601	3668	2425
602	3674	2419
603	3679	2412
604	3685	2406
605	3691	2399
606	3696	2393
607	3702	2386
608	3708	2380
609	3713	2374
610	3719	2368
611	3725	2362
612	3731	2355
613	3736	2349
614	3742	2342
615	3748	2336
616	3754	2330
617	3760	2324
618	3765	2317
619	3770	2311
620	3776	2304
621	3781	2298
622	3787	2291
623	3793	2285
624	3798	2279
625	3804	2272
626	3809	2266
627	3815	2260
628	3821	2254
629	3827	2247
630	3832	2241
631	3838	2234
632	3843	2228
633	3849	2222
634	3854	2215
635	3860	2209
636	3866	2203
637	3872	2196
638	3877	2190
639	3883	2184
640	3888	2178
641	3894	2171
642	3900	2165
643	3905	2159
644	3911	2152
645	3916	2146
646	3922	2139
647	3928	2133
648	3933	2127
649	3939	2121
650	3945	2115
651	3950	2108
652	3956	2102
653	3961	2095
654	3967	2089
655	3972	2083
656	3978	2077
657	3984	2070
658	3989	2064
659	3995	2058
660	4001	2052
661	4006	2045
662	4012	2039
663	4017	2033
664	4023	2026
665	4028	2020
666	4034	2014
667	4040	2008
668	4046	2001
669	4051	1995
670	4057	1989
671	4062	1983
672	4068	1976
673	4074	1970
674	4079	1964
675	4085	1958
676	4091	1951
677	4097	1945
678	4102	1939
679	4108	1933
680	4113	1927
681	4120	1921
682	4126	1915
683	4132	1909
684	4138	1902
685	4143	1896
686	4149	1890
687	4155	1884
688	4160	1877
689	4166	1871
690	4171	1865
691	4177	1859
692	4182	1853
693	4188	1846
694	4194	1840
695	4199	1834
696	4205	1828
697	4211	1822
698	4216	1815
699	4222	1809
700	4227	1803
701	4233	1796
702	4238	1790
703	4244	1784
704	4250	1778
705	4256	1772
706	4261	1766
707	4266	1759
708	4272	1753
709	4278	1747
710	4284	1741
711	4290	1735
712	4296	1729
713	4301	1723
714	4307	1717
715	4313	1710
716	4318	1704
717	4324	1698
718	4330	1692
719	4335	1686
720	4341	1680
721	4347	1673
722	4352	1667
723	4358	1661
724	4364	1655
725	4370	1649
726	4375	1643
727	4381	1637
728	4386	1630
729	4393	1624
730	4398	1618
731	4404	1612
732	4409	1606
733	4415	1600
734	4420	1593
735	4426	1587
736	4431	1581
737	4437	1575
738	4442	1568
739	4447	1562
740	4453	1556
741	4459	1550
742	4464	1544
743	4470	1538
744	4476	1532
745	4481	1525
746	4487	1519
747	4493	1513
748	4499	1507
749	4505	1501
750	4510	1495
751	4516	1489
752	4521	1483
753	4527	1477
754	4533	1471
